,total_duration
0,5730
1,2117
2,1414
3,1455
4,1336
5,1421
6,1416
7,1401
8,1391
9,1386
10,1422
11,1429
12,1348
13,1496
14,1373
15,1380
16,1529
17,1344
18,1533
19,1473
20,1501
21,1392
22,1383
23,1587
24,1394
25,1561
26,1472
27,1566
28,1427
29,1658
30,1459
31,1605
32,1443
33,1687
34,1643
35,1469
36,1650
37,1509
38,1676
39,1608
40,1848
41,1757
42,1716
43,1488
44,1719
45,1465
46,1730
47,1670
48,1580
49,1783
50,1750
51,1550
52,1844
53,1944
54,1906
55,1691
56,1951
57,1951
58,1726
59,1765
60,1915
61,1760
62,1901
63,2122
64,2279
65,1490
66,1470
67,1408
68,1451
69,1477
70,1557
71,1521
72,1561
73,1487
74,1579
75,1519
76,1664
77,1569
78,1596
79,1642
80,1495
81,1677
82,1470
83,1549
84,1410
85,1604
86,1385
87,1593
88,1441
89,1676
90,1421
91,1611
92,1452
93,1700
94,1661
95,1512
96,1681
97,1527
98,1732
99,1822
100,1547
101,1886
102,1871
103,2018
104,1911
105,1912
106,1633
107,1891
108,1950
109,2002
110,1997
111,2343
112,2032
113,1988
114,2109
115,2070
116,2043
117,2087
118,2173
119,2350
120,2045
121,2198
122,2197
123,2131
124,2198
125,2430
126,2172
127,2476
128,3496
129,1524
130,1545
131,1391
132,1406
133,1503
134,1442
135,1546
136,1506
137,1506
138,1457
139,1636
140,1472
141,1617
142,1594
143,1702
144,1786
145,1524
146,1947
147,1735
148,1679
149,1490
150,1645
151,1439
152,1640
153,1500
154,1647
155,1677
156,1370
157,1739
158,1492
159,1767
160,1745
161,1545
162,1801
163,1895
164,1931
165,1642
166,1926
167,1720
168,2032
169,2078
170,2035
171,1910
172,2014
173,2116
174,2050
175,2101
176,2236
177,2031
178,2144
179,2160
180,2240
181,2708
182,2186
183,2282
184,2704
185,2218
186,2822
187,2334
188,2693
189,2406
190,2882
191,3109
192,3918
193,1616
194,1404
195,1494
196,1464
197,1539
198,1436
199,1611
200,1497
