,total_commit
0,488
1,699
2,585
3,601
4,599
5,609
6,605
7,597
8,598
9,620
10,633
11,621
12,644
13,640
14,644
15,593
16,629
17,625
18,654
19,641
20,628
21,603
22,620
23,630
24,634
25,652
26,635
27,630
28,623
29,656
30,619
31,616
32,630
33,667
34,653
35,642
36,673
37,621
38,672
39,706
40,708
41,690
42,685
43,682
44,693
45,637
46,706
47,635
48,708
49,688
50,745
51,631
52,730
53,623
54,698
55,731
56,705
57,721
58,751
59,716
60,711
61,732
62,665
63,725
64,883
65,595
66,601
67,585
68,587
69,579
70,631
71,632
72,621
73,593
74,656
75,618
76,656
77,651
78,641
79,603
80,630
81,674
82,633
83,609
84,647
85,617
86,595
87,615
88,639
89,596
90,609
91,620
92,624
93,637
94,618
95,670
96,612
97,587
98,667
99,687
100,666
101,637
102,609
103,684
104,593
105,625
106,640
107,614
108,632
109,655
110,666
111,750
112,634
113,636
114,630
115,642
116,671
117,650
118,660
119,639
120,621
121,696
122,695
123,637
124,660
125,664
126,731
127,734
128,1259
129,600
130,584
131,562
132,585
133,608
134,587
135,601
136,594
137,585
138,548
139,599
140,628
141,614
142,620
143,608
144,625
145,592
146,591
147,629
148,634
149,642
150,601
151,596
152,630
153,618
154,592
155,606
156,623
157,605
158,570
159,620
160,619
161,633
162,601
163,616
164,659
165,584
166,606
167,626
168,617
169,656
170,688
171,609
172,569
173,615
174,626
175,674
176,682
177,606
178,601
179,709
180,621
181,627
182,653
183,653
184,657
185,675
186,631
187,620
188,668
189,656
190,711
191,791
192,1485
193,564
194,575
195,591
196,597
197,604
198,587
199,573
200,605
201,579
202,587
203,651
204,618
205,625
206,638
207,654
208,628
209,628
210,634
211,572
212,629
213,625
214,585
215,584
216,622
217,629
218,599
219,622
220,591
221,596
222,605
223,666
224,638
225,627
226,625
227,688
228,617
229,623
230,652
231,625
232,628
233,582
234,626
235,640
236,639
237,679
238,645
239,689
240,621
241,656
242,686
243,730
244,629
245,675
246,666
247,694
248,655
249,638
250,727
251,645
252,656
253,663
254,650
255,831
256,1777
257,604
258,573
259,536
260,610
261,568
262,560
263,606
264,582
265,665
266,632
267,628
268,620
269,651
270,678
271,592
272,597
273,608
274,607
275,599
276,643
277,614
278,635
279,664
280,638
281,665
282,609
283,629
284,640
285,649
286,652
287,616
288,667
289,636
290,631
291,641
292,644
293,606
294,663
295,654
296,635
297,642
298,669
299,701
300,663
301,658
302,666
303,622
304,657
305,620
306,680
307,603
308,650
309,672
310,649
311,642
312,682
313,690
314,672
315,748
316,675
317,647
318,621
319,873
320,2383
321,614
322,585
323,552
324,612
325,639
326,576
327,562
328,633
329,583
330,583
331,622
332,583
333,568
334,567
335,630
336,575
337,590
338,612
339,630
340,656
341,656
342,656
343,616
344,616
345,585
346,625
347,615
348,614
349,630
350,662
351,607
352,658
353,658
354,646
355,660
356,670
357,660
358,705
359,654
